Company / Factory Name,Parent Entity / Group,Capacity (KLPD),Feedstock Type,Captive Power (MW),Exact Factory Location & Address,District,PIN Code,Operational Status & Strategic Notes,Operational Status & Strategic Notes,Operational Status & Strategic Notes,Operational Status & Strategic Notes,Operational Status & Strategic Notes,,,,,,,
Svaksha Distillery Limited,BCL Industries Ltd,300,"Grain (Broken Rice, Maize)",N/A,"Village Dakshin Simla, Dag No. 1288(P), JL-355, P.O. Changual, P.S. Kharagpur (Local), NH-6",Paschim Medinipur,721301,Fully Operational; Integrated with advanced maize oil extraction facilities.,Fully Operational; Integrated with advanced maize oil extraction facilities.,Fully Operational; Integrated with advanced maize oil extraction facilities.,Fully Operational; Integrated with advanced maize oil extraction facilities.,Fully Operational; Integrated with advanced maize oil extraction facilities.,,,,,,,
Globus Spirits Limited,Globus Spirits Ltd,240,"Grain (Rice, Maize, Wheat)",8,"Plot No. B-7, Panagarh Industrial Park, P.O. Kota, P.S. Bud Bud, Block Kanksa",Purba Bardhaman,713148,Fully Operational; Multi-feedstock flexibility; Zero Liquid Discharge enforced.,Fully Operational; Multi-feedstock flexibility; Zero Liquid Discharge enforced.,Fully Operational; Multi-feedstock flexibility; Zero Liquid Discharge enforced.,Fully Operational; Multi-feedstock flexibility; Zero Liquid Discharge enforced.,Fully Operational; Multi-feedstock flexibility; Zero Liquid Discharge enforced.,,,,,,,
Ankur Biochem Private Limited,Ankur Biochem,310,Grain,N/A,"Village & P.O. Jorehira, P.S. Chhatna",Bankura,722132,Fully Operational; Major supplier in the western industrial corridor.,Fully Operational; Major supplier in the western industrial corridor.,Fully Operational; Major supplier in the western industrial corridor.,Fully Operational; Major supplier in the western industrial corridor.,Fully Operational; Major supplier in the western industrial corridor.,,,,,,,
JSR Grain Energy Private Limited,JSR Grain Energy,275,Grain,7,"Village Ratul, P.O. Katna, P.S. Gazole",Malda,732124,Advanced Development; Land use conversion secured for massive site footprint.,Advanced Development; Land use conversion secured for massive site footprint.,Advanced Development; Land use conversion secured for massive site footprint.,Advanced Development; Land use conversion secured for massive site footprint.,Advanced Development; Land use conversion secured for massive site footprint.,,,,,,,
Ankoor Distilleries Private Limited,Ankoor Distilleries,200,Grain,5,"Village Jorsha & Teghoria, P.O. Bhara Kali Bari, P.S. Mejia",Bankura,722143,Fully Operational; Significant regional footprint.,Fully Operational; Significant regional footprint.,Fully Operational; Significant regional footprint.,Fully Operational; Significant regional footprint.,Fully Operational; Significant regional footprint.,,,,,,,
IFB Agro Industries Limited,IFB Agro,170,Grain,4.9,"Plot No. Ind-5, Sector-1, Village Durgapur, P.O. Noorpur, Thana Ramnagar, Block Diamond Harbour-II",South 24 Parganas,700107,Fully Operational; High-purity CO2 extraction and marine feed integration.,Fully Operational; High-purity CO2 extraction and marine feed integration.,Fully Operational; High-purity CO2 extraction and marine feed integration.,Fully Operational; High-purity CO2 extraction and marine feed integration.,Fully Operational; High-purity CO2 extraction and marine feed integration.,,,,,,,
Pratishtha Spirits Private Limited,Poddar Group (Formerly Maa Shakambari),160,Grain,4.4,"Plot No. A9 & A10, Near WBIDC Office, Panagarh Industrial Park",Paschim Bardhaman,713148,Fully Operational; Consumes 944 KLD fresh water and 15.2 TPH steam.,Fully Operational; Consumes 944 KLD fresh water and 15.2 TPH steam.,Fully Operational; Consumes 944 KLD fresh water and 15.2 TPH steam.,Fully Operational; Consumes 944 KLD fresh water and 15.2 TPH steam.,Fully Operational; Consumes 944 KLD fresh water and 15.2 TPH steam.,,,,,,,
Sterling Distillers Pvt Ltd,Sterling Distillers,150,Grain,4.5,"Village & P.O. Belari, P.S. Ausgram",Purba Bardhaman,713141,Fully Operational; Supported by INR 185-200 Crore initial investment phase.,Fully Operational; Supported by INR 185-200 Crore initial investment phase.,Fully Operational; Supported by INR 185-200 Crore initial investment phase.,Fully Operational; Supported by INR 185-200 Crore initial investment phase.,Fully Operational; Supported by INR 185-200 Crore initial investment phase.,,,,,,,
Hooghly Agrivet Private Limited,Hooghly Agrivet,116,Grain,N/A,Regional Operations (Exact plot under development),Hooghly,N/A,Approved under 2021 subvention schemes; Features extensive ZLD engineering.,Approved under 2021 subvention schemes; Features extensive ZLD engineering.,Approved under 2021 subvention schemes; Features extensive ZLD engineering.,Approved under 2021 subvention schemes; Features extensive ZLD engineering.,Approved under 2021 subvention schemes; Features extensive ZLD engineering.,,,,,,,
Greenosphere Renewable Energy Pvt Ltd,Formerly Happy Niwas Pvt Ltd,100,Grain,2.6,"Abhirampur Road, Khatian No. 4845, 6131, Mouza Goligram, J.L.No. 54, P.S. Galsi, Block Galsi-I",Purba Bardhaman,713406,Fully Operational; Commenced commercial production in July 2024.,Fully Operational; Commenced commercial production in July 2024.,Fully Operational; Commenced commercial production in July 2024.,Fully Operational; Commenced commercial production in July 2024.,Fully Operational; Commenced commercial production in July 2024.,,,,,,,
